timestamp,weather_condition,road_condition,location_type,day_of_week,time_of_day,traffic_density,speed_limit,visibility_meters,temperature_celsius,accident_occurred
2024-05-16 01:21:17.150004,clear,wet,residential,Thursday,1,3,45,9977,30.034117821320727,1
2024-02-02 17:24:06.150004,rain,wet,residential,Friday,17,10,25,576,4.914633921538833,0
2024-02-04 04:44:52.150004,clear,wet,highway,Sunday,4,1,70,5540,14.660571978599457,0
2022-12-16 20:09:58.150004,clear,dry,highway,Friday,20,7,40,5385,29.392213179850813,0
2022-09-17 22:45:02.150004,rain,wet,rural,Saturday,22,1,45,1875,14.747183135335902,0
2023-06-05 01:28:51.150004,clear,wet,intersection,Monday,1,3,65,5966,11.459803131229805,1
2023-02-20 06:44:00.150004,clear,dry,rural,Monday,6,8,25,2560,-9.42133967552706,0
2025-04-01 23:32:52.150004,snow,dry,intersection,Tuesday,23,1,65,114,18.401975126837808,0
2025-03-06 02:58:22.150004,clear,dry,residential,Thursday,2,3,40,3710,-3.7628460931456793,0
2023-04-17 22:54:53.150004,clear,wet,highway,Monday,22,1,45,1796,28.232412039551313,0
2024-09-21 00:03:13.150004,clear,dry,highway,Saturday,0,2,25,8737,2.886886190750978,1
2025-02-02 12:09:21.150004,clear,dry,rural,Sunday,12,7,45,8220,23.70937054043275,0
2025-02-03 02:22:39.150004,clear,dry,intersection,Monday,2,1,25,683,22.31117639123397,0
2022-06-13 11:51:55.150004,rain,wet,highway,Monday,11,6,30,895,20.833780146501006,1
2022-09-25 08:02:57.150004,clear,dry,highway,Sunday,8,10,30,2770,3.3476003768596314,0
2025-01-02 04:36:21.150004,clear,dry,residential,Thursday,4,2,70,225,3.3544888587784065,1
2022-06-08 04:03:03.150004,clear,dry,intersection,Wednesday,4,1,40,8880,33.152402172066495,0
2022-05-25 13:12:59.150004,clear,dry,residential,Wednesday,13,10,25,8202,-9.35963336847865,0
2024-09-22 19:25:07.150004,rain,wet,highway,Sunday,19,7,30,680,-0.9238683273021042,1
2023-04-03 02:32:54.150004,clear,dry,intersection,Monday,2,2,40,4442,20.508545882099252,0
2023-08-25 21:41:30.150004,clear,dry,residential,Friday,21,9,35,5429,30.852312720158487,0
2024-10-02 17:42:44.150004,clear,wet,intersection,Wednesday,17,10,30,6020,7.917275433642931,1
2024-04-06 07:57:55.150004,clear,wet,highway,Saturday,7,7,30,8716,22.672172930540007,0
2024-05-22 03:43:21.150004,clear,dry,intersection,Wednesday,3,1,55,9888,17.857820981011816,0
2023-10-10 09:56:05.150004,rain,wet,highway,Tuesday,9,8,45,1239,-6.77299477589823,1
2022-12-21 15:56:05.150004,clear,dry,residential,Wednesday,15,1,35,6729,21.087509846533905,0
2024-03-13 20:13:28.150004,clear,wet,highway,Wednesday,20,1,25,7398,30.695173613624675,0
2024-10-25 22:58:31.150004,clear,dry,highway,Friday,22,3,40,5934,39.62241601497047,0
2022-10-28 23:58:00.150004,rain,dry,highway,Friday,23,4,35,1956,-8.517996367413858,1
2023-12-13 00:00:12.150004,clear,icy,intersection,Wednesday,0,2,25,8878,23.0029086291934,1
2023-04-22 18:36:53.150004,rain,wet,highway,Saturday,18,9,30,774,10.727477657398108,1
2024-03-24 10:27:28.150004,rain,wet,rural,Sunday,10,8,65,1976,-9.510605564689737,1
2024-04-05 16:29:01.150004,snow,snowy,rural,Friday,16,9,55,584,20.71804718542557,1
2024-05-11 10:54:20.150004,clear,dry,intersection,Saturday,10,7,70,5517,-3.8786350722182252,0
2024-06-29 16:01:02.150004,clear,dry,intersection,Saturday,16,7,65,5552,8.92834250945683,0
2024-03-02 14:00:44.150004,rain,wet,rural,Saturday,14,5,70,1502,3.068354624420115,1
2024-03-26 09:48:30.150004,fog,dry,highway,Tuesday,9,8,40,382,8.058170113554965,1
2024-01-23 00:49:38.150004,snow,snowy,highway,Tuesday,0,2,40,356,14.63477907504748,1
2022-08-21 16:17:04.150004,clear,dry,residential,Sunday,16,10,35,8589,7.960476624475724,0
2024-02-05 05:49:31.150004,clear,dry,highway,Monday,5,3,70,1253,17.63659352947696,1
2023-11-03 19:34:53.150004,clear,dry,highway,Friday,19,8,45,6608,1.9324845116426879,0
2022-12-06 13:31:30.150004,rain,wet,rural,Tuesday,13,2,25,1408,21.76808837141908,0
2022-05-26 00:29:27.150004,clear,dry,residential,Thursday,0,2,70,8973,32.68815020624267,0
2023-09-16 15:29:23.150004,clear,dry,intersection,Saturday,15,1,55,6578,1.2033523457606208,0
2024-06-18 12:36:03.150004,rain,wet,intersection,Tuesday,12,8,70,1811,15.393860792781126,1
2022-10-28 19:22:54.150004,clear,wet,intersection,Friday,19,6,70,5649,22.43448922749443,0
2023-12-11 12:15:23.150004,snow,snowy,residential,Monday,12,5,55,126,18.231306560670806,1
2022-08-26 16:39:36.150004,clear,dry,intersection,Friday,16,7,65,5955,8.282472309611297,0
2024-07-02 11:07:49.150004,clear,dry,intersection,Tuesday,11,9,35,6381,22.109985400287414,0
2025-02-08 14:06:25.150004,clear,wet,rural,Saturday,14,3,70,8694,-8.58768968949619,0
2022-09-19 20:31:04.150004,rain,wet,intersection,Monday,20,9,45,1248,8.495311599821651,1
2024-08-14 14:41:00.150004,clear,dry,intersection,Wednesday,14,9,45,2944,16.630610732050158,0
2022-09-16 11:14:47.150004,clear,dry,intersection,Friday,11,2,45,2284,-8.969342058206767,0
2024-06-23 05:10:02.150004,fog,wet,intersection,Sunday,5,1,40,391,15.38244148421499,1
2023-06-27 07:02:21.150004,clear,dry,highway,Tuesday,7,7,25,5909,22.712723038281418,0
2023-02-22 15:14:09.150004,clear,dry,rural,Wednesday,15,1,25,8405,27.960384885652253,0
2023-01-08 08:31:25.150004,clear,icy,rural,Sunday,8,9,65,1497,-4.33129592952848,0
2024-11-11 15:42:15.150004,clear,wet,highway,Monday,15,4,70,151,39.52824374458474,0
2025-01-08 10:11:43.150004,rain,wet,highway,Wednesday,10,5,35,1285,20.308385066754777,1
2025-01-26 23:58:07.150004,clear,dry,highway,Sunday,23,4,30,7370,8.159689630616498,0
2024-05-24 08:56:35.150004,clear,dry,intersection,Friday,8,7,35,9694,2.4546427228356897,0
2022-12-31 08:20:45.150004,clear,dry,intersection,Saturday,8,9,70,585,18.64484308417073,0
2022-04-19 23:37:26.150004,rain,wet,rural,Tuesday,23,8,25,1881,34.08558235832854,0
2022-05-28 07:51:52.150004,clear,dry,intersection,Saturday,7,9,70,1750,16.028269807068238,1
